CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"758","تثقيف غذائي وصحي","Educate of diet and Healthy","ELN32355","2","2","0","","","","","","","","","6"
"759","سوء التغذية وأمراضه","MALNUTRITION AND DISEASES","ELN32356","2","2","0","","","","","","","","","6"
"760","التربية التغذوية","NUTRITIONAL EDUCATE","ELN32461","2","2","0","","","","","","","","","6"
"761","التغذية الرياضية","SPORT NUTRITION","ELN32462","2","2","0","","","","","","","","","6"
"762","تخطيط الوجبات الغذائية","Meals Planning","ELN32463","2","2","0","","","","","","","","","6"
"763","اسعافات اولية","FIRST AID","ELN42358","2","2","0","","","","","","","","","6"
"764","مساق استدراكي1لغير العلمي","مساق استدراكي 1","REM 1","3","3","0","","","","","","","","","6"
"765","مساق استدراكي2لغير العلمي","مساق استدراكي 2","REM2","2","2","0","","","","","","","","","4"
"766","مساق استدراكي3لغير العلمي","مساق استدراكي 3","REM3","2","2","0","","","","","","","","","6"
"767","مساق اختياري 2","ELECTIVE COURSE II","ELN00002","2","2","0","","","","","","","","","6"
"768","مساق اختياري 3","ELECTIVE COURSE  III","ELN00003","2","2","0","","","","","","","","","6"
"769","مساق اختياري","ELECTIVE COURSE","ELD00000","3","3","0","","","","","","","","","4"
"770","كتابة السيناريو","SCRIPT WRITING","MEB23152","3","3","0","","","","","","","","","4"
"771","التصوير الفوتوغرافي","PHOTOGRAPHY","MEB13153","3","1","2","","","","","","","","","4"
"772","الهندسة الصوتية","AUDIO ENGINEERING","MEB23154","3","2","1","","","","","","","","","4"
"773","الاخبار الإذاعية والتليفزيونية","NEWS BROADCASTING","MEB23155","3","3","0","","","","","","","","","4"
"774","نظريات الإعلام","MEDIA THEORIES","MEB12256","2","2","0","","","","","","","","","4"
"775","الدراما الإذاعية","RADIO DRAMA","MEB23257","3","3","0","","","","","","","","","4"
"776","الإعلان الإذاعي والتليفزيوني","RADIO AND TELEVISION ADVERTISING","MEB23258","3","2","1","","","","","","","","","4"
"777","الراديو الرقمي","DIGITAL RADIO","MEB23259","3","2","1","","","","","","","","","4"
"778","مهارات إعلامية باللغة الإنجليزية","MEDIA SKILLS ENGLISH LANGUAGE","MEB12260","2","2","0","","","","","","","","","4"
"779","التلفزيون الرقمي","DIGITAL TV","MEB23261","3","2","1","","","","","","","","","4"
"780","التصوير التليفزيوني I","TELEVISION FILMING I","MEB23262","3","2","1","","","","","","","","","4"
"781","الدراما التليفزيونية","TV DRAMA","MEB23263","3","3","0","","","","","","","","","4"
"782","هندسة البث والإرسال","BROADCASTING ENGINEERING","MEB23264","3","2","1","","","","","","","","","4"
"783","الإحصاء الإعلامي","STATISTICS FOR MEDIA","MEB13365","3","2","1","","","","","","","","","4"
"784","الإخراج الإذاعي","RADIO DIRECTION","MEB23366","3","2","1","","","","","","","","","4"
"785","المونتاج التلفزيوني I","TV EDITING I","MEB23367","3","2","1","","","","","","","","","4"
"786","التصوير التليفزيوني II","TELEVISION FILMING II","MEB23368","3","1","2","","","","","","","","","4"
"787","التصميم الجرافيكي","GRAPHIC DESIGN","MEB23369","3","1","2","","","","","","","","","4"
"788","التصميم والديكور","DESIGN AND DECORATION","MEB23370","3","3","0","","","","","","","","","4"
"789","السينما الرقمية التفاعلية","INTERACTIVE DIGITAL CINEMA","MEB23371","3","3","0","","","","","","","","","4"
"790","مساق اختياري 1","ELECTIVE COURSE I","ELM00001","3","3","0","","","","","","","","","4"
"791","تشريعات وأخلاقيات المهنة","LEGISLATION AND ETHICS OF WORK","MEB12372","2","2","0","","","","","","","","","2"
"792","مناهج البحث الإعلامي","MEDIA RESEARCH METHODS","MEB13373","3","3","0","","","","","","","","","4"
"794","إنتاج الأفلام","FILM PRODUCTION","MEB23374","3","3","0","","","","","","","","","4"
"795","الإخراج التلفزيوني","TV DIRECTION","MEB23375","3","2","1","","","","","","","","","4"
"797","إعداد وتقديم البرامج الإذاعية والتلفزيونية","PREPARATION & PRESENTATION OF RADIO & TV PROGRAMS","MEB23376","3","2","1","","","","","","","","","4"
"798","التصوير التليفزيوني الاحترافي","PROFESSIONAL TELEVISION FILMING","MPH33477","3","1","2","","","","","","","","","4"
"799","مونتاج تلفزيوني II","TV EDITING II","MPH33478","3","1","2","","","","","","","","","4"
"800","الصوت الرقمي","DIGITAL AUDIO","MPH33479","3","2","1","","","","","","","","","4"
"801","الإخراج الاحترافي","PROFESSIONAL DIRECTION","MPH33480","3","2","1","","","","","","","","","4"
"802","الإضاءة التلفزيونية","LIGHTING FOR FILMING AND TV","MEB33481","3","2","1","","","","","","","","","4"
"804","الإذاعات والقنوات المتخصصة","RADIO AND SPECIALIZED CHANNELS","MPH33481","3","3","0","","","","","","","","","4"
"805","النقد الإذاعي والتلفزيوني","RADIO AND TELEVISION CRITICISM","MPH33482","3","3","0","","","","","","","","","4"
"806","مساق اختياري 2 ""تركيز تصوير""","مساق اختياري 2 ""تركيز تصوير""","EPH00002","3","3","0","","","","","","","","","4"
"807","الخدع والمؤثرات البصرية","VISUAL EFFECTS  AND TRICKS","MPH33483","3","1","2","","","","","","","","","4"
"808","مونتاج تلفزيوني III","TV EDITING III","MPH33484","3","1","2","","","","","","","","","4"
"809","تدريب ميداني","FIELD TRAINING","MPH32485","2","0","2","","","","","","","","","4"
"810","مشروع التخرج","GRADUATION PROJECT","MPH33486","3","1","2","","","","","","","","","2"
"811","مهارات تركيز الصوت والإلقاء","SOUND CONCENTRATION SKILLS AND SHOW","MPE33487","3","1","2","","","","","","","","","4"
"812","إعداد وتقديم البرامج الإخبارية","PREPARATION AND PRESENTATION NEWS PROGRAMS","MPE33488","3","2","1","","","","","","","","","4"
"813","الإعلام الاستقصائي","INVESTIGATIVE MEDIA","MPE33489","3","3","0","","","","","","","","","4"
"814","المراسل الإذاعي والتليفزيوني","RADIO AND TELEVISION REPORTER","MPE33490","3","2","1","","","","","","","","","4"
"815","التقديم الإذاعي والتلفزيوني الحواري","TV AND RADIO DIALOGUE","MPE33491","3","2","1","","","","","","","","","4"
"816","الدعاية والرأي العام","PROPAGANDA AND PUBLIC OPINION","MPE33492","3","3","0","","","","","","","","","4"
"817","الأحداث التلفزيونية الخاصة","SPECIAL TV EVENTS","MPE33493","3","3","0","","","","","","","","","4"
"818","إعداد وتقديم البرامج التعليمية والثقافية","PREPARATION & PRESENTATION OF EDU & CULTURAL PROG","MPE33494","3","2","1","","","","","","","","","4"
"819","إعداد وتقديم البرامج المتخصصة","PREPARATION & PRESENTATION OF SPECIALIZED PROG","MPE33495","3","2","1","","","","","","","","","4"
"820","تدريب ميداني","FIELD TRAINING","MPE32496","2","0","2","","","","","","","","","4"
"821","مشروع التخرج","GRADUATION PROJECT","MPE33497","3","1","2","","","","","","","","","2"
"822","مساق اختياري 3 ""تركيز إعداد وتقديم""","مساق اختياري 3 ""تركيز إعداد وتقديم""","EPR","3","3","0","","","","","","","","","4"
"823","استدراكي 1 (للمجسر بدون خبرة)","استدراكي للمجسر بدون خبرة","REM1","3","3","0","","","","","","","","","6"
"824","استدراكي 2 (للمجسر بدون خبرة)","استدراكي 2 (للمجسر بدون خبرة","REM2","3","3","0","","","","","","","","","6"
"825","متطلب اختياري 1","ELECTIVE COURSE 1","ELT00001","3","3","0","","","","","","","","","2"
"826","متطلب اختياري 2","ELECTIVE COURSE 2","ELT00002","3","3","0","","","","","","","","","2"
"827","استدراكي 1 (للمجسر بدون خبرة)","استدراكي 1 (للمجسر بدون خبرة)","REM1","2","2","0","","","","","","","","","6"
"828","مساق استدراكي 5 تجسير","مساق استدراكي 1 تجسير","REM5","2","2","0","","","","","","","","","6"
"831","مساق استدراكي 2 تجسير","مساق استدراكي 2 تجسير","REM6","2","2","0","","","","","","","","","6"
"832","العلاقات العامة*","PUBLIC RELATIONS*","REM00001","2","2","0","","","","","","","","","4"
"833","فن الإتتيكيت والبروتوكول*","ETIQUETTE AND PROTOCOL*","REM00002","3","3","0","","","","","","","","","4"
"834","مساق استدراكي 2 (للمجسر بدون خبرة)","مساق استدراكي 2 (للمجسر بدون خبرة)","REM2","1","1","0","","","","","","","","","6"
"835","الرياضيات المالية","FINACIAL MATHEMATICS","BUS13263","3","3","0","","","","","","","","","3"
"836","تاريخ القدس","JERUSALEM HISTORY","ACD03120","3","3","0","","","","","","","","","6"
"837","تسويق الخدمات المالية","MARKETING FINANTIAL SERVICEES","BUS93250","3","3","0","","","","","","","","","3"
"838","المحاسبة المتقدمة","ADVANCED ACCOUNTING","ACC13465","3","3","0","","","","","","","","","32"
"840","المحاسبة الدولية","INTERNATIONAL ACCOUNTING","FIN13251","3","3","0","","","","","","","","","3"
"841","إدارة البنوك الإسلامية","ISLAMIC BANKING MANEGMENT","BUS13250","3","3","0","","","","","","","","","3"
"842","مبادئ السياحة والسفر","PRINCIPLES OF TOURISM AND TRAVEL","HMF23160","3","3","0","","","","","","","","","5"
"843","التصوير الفوتوغرافي","PHOTOGRAPHY","MED33110","3","2","1","","","","","","","","","4"
"844","المونتاج الرقمي I","DIGITAL MONTAGE I","MED03104","3","2","1","","","","","","","","","4"
"845","مبادئ الدوائر الكهربائية والإلكترونيات","PRINCIPLES OF ELECTRICAL AND ELECTRONIC CIRCUITS","EEE24107","4","3","1","","","","","","","","","2"
"846","المونتاج الرقمي II","DIGITAL MONTAGE II","MED33207","3","2","1","","","","","","","","","4"
"847","إنتاج الاستوديو","STUDIO PRODUCTION","MED33208","3","2","1","","","","","","","","","4"
"848","معدات العمل التلفزيوني","TV OPERATION","MED33210","3","2","1","","","","","","","","","4"
"849","الإنارة الكهربائية","LIGHTING","EEE82201","2","2","0","","","","","","","","","4"
"850","التدريب الميداني","FIELD TRAINING","MED32214","2","0","2","","","","","","","","","4"
"851","مشروع التخرج","GRADUATION PROJECT","MED32212","2","0","2","","","","","","","","","4"
"852","الخدع والمؤثرات البصرية","VISUAL EFFECTS  AND TRICKS","MED33213","3","2","1","","","","","","","","","4"
"853","الإنتاج التلفزيوني الخارجي","OUTSIDE PRODUCTION","MED33216","3","2","1","","","","","","","","","4"
"854","التصوير وصناعة الأفلام","CINEMATOGRAPHY AND FILMMAKING","MED02105","2","1","1","","","","","","","","","4"
"855","مهارات الإتصال","SKILL COMMUNCATIONS","ACD02216","2","1","1","","","","","","","","","6"
"856","تحريك العناصر ثنائية الأبعاد","ANIMATING 2D OBJECTS","CMP43107","3","1","2","","","","","","","","","1"
"857","تطوير العناصر ثلاثية الأبعاد البسيطة","DEVELOPING 3D SIMPLE OBJECTS","CMP42108","2","0","2","","","","","","","","","1"
"858","تصميم المطبوعات الدعائية","DESIGNING PRINT GRAPHICS","CMP43208","3","1","2","","","","","","","","","1"
"859","الحوسبة النقالة المتقدمة","ADVANCED MOBILE COMPUTING","ICT13454","3","2","1","","","","","","","","","1"
"860","انتاج الخدع السينمائية والمؤثرات البصرية","PRODUCTION OF CINEMATIC TRICS & VISUAL EFFECTS","CMP43207","3","1","2","","","","","","","","","1"
"862","تطوير العناصر ثلاثية الابعاد المتقدمة","DEVELOPING 3D ADVANCED OBJECTS","CMP 43206","3","1","2","","","","","","","","","1"
"864","تصميم الانفوجرافيك","DESIGNING MOTION INFO GRAPHICS","CMP 43208","3","1","2","","","","","","","","","1"
"865","استراتيجيات التسويق عبر مواقع التواصل الاجتماعي","SOCIAL MEDIA MARKETING STRATEGY","CMP43200","3","2","1","","","","","","","","","1"
"866","تحريك العناصر ثلاثية الابعاد","ANIMATING 3D OBJECTS","CMP43209","3","1","2","","","","","","","","","1"
"867","تطوير تطبيقات الهواتف الذكية","MOBILE APPLICATIONS DEVELOPMENT","CMP43210","3","1","2","","","","","","","","","1"
"869","مشروع تخرج","GRADUATION PROJECT","CMP53207","3","0","3","","","","","","","","","1"
"870","I رياضيات","MATH I","ACD03112","3","3","0","","","","","","","","","6"
"871","II رياضيات","MATH II","ACD03113","3","3","0","","","","","","","","","6"
"872","ريادة الأعمال I","ENTREPRENEURSHIP I","BUS01144","1","0","1","","","","","","","","","3"
