PlanNo,ProgramNo,RuleNo,PlanCode,PlanNameAra,PlanNameAraAlias,PlanNameEng,CollegeCH,ProgramCH,PlanCH,CHPrice,CurID,AccDate
"46","7","1","713","إدارة الإيواء 2015-2016","إدارة الإيواء","MANAGEMENT ACCOMMODATION","15","16","34","10","97003","1998-01-01"
"47","4","1","516","المحاسبة والتأمين 2015-2016","المحاسبة والتأمين","ACCOUNTING AND INSURANCE","15","16","39","10","97003","2007-08-01"
"48","4","1","517","الإعلان والتسويق 2015-2016","الإعلان والتسويق","ANNOUNCING AND MARKETING","15","16","39","10","97003","2007-08-01"
"49","2","1","310","الصيانة الإلكترونية 2015-2016","الصيانة الإلكترونية","ELECTRONIC MAINTENANCE","15","10","47","10","97003","2010-08-13"
"50","2","1","700","التركيبات الكهربائية 2015-2016","التركيبات الكهربائية","ELECTRICAL INSTALLATIONS ","15","10","50","10","97003","2013-07-20"
"51","2","1","800","مساعد مهندس تبريد وتكييف 2015-2016","مساعد مهندس تبريد وتكييف","HVAC( HEATING VENTILATION & AIR CONDITIONING ) ","15","10","47","10","97003","2013-07-20"
"53","5","1","816","تصميم الأزياء وتصنيع الملابس 2015-2016","تصميم الأزياء وتصنيع الملابس","DESIGN AND DRESS MAKING","15","7","46","10","97003","1996-01-01"
"54","5","1","815","فنون التلفزيون 2016-2017","فنون التلفزيون","TELEVISION MEDIA","15","12","51","10","97003","1996-01-01"
"55","1","1","900","الوسائط المتعددة والتصميم الجرافيكي 2016-2017","الوسائط المتعددة والتصميم الجرافيكي","MULTIMEDIA & GRAPHIC DESIGN","15","7","52","10","97003","2013-07-20"
"56","1","1","611","تصميم وتطوير مواقع الإنترنت 2016-2017","تصميم وتطوير مواقع الإنترنت","WEBSITE DEVELOPER","15","16","44","10","97003","2003-01-01"
"57","2","1","310","الصيانة الإلكترونية 2017-2018","الصيانة الإلكترونية","ELECTRONIC MAINTENANCE","18","17","38","10","97003","2010-08-13"
"58","1","1","611","تصميم وتطوير مواقع الإنترنت 2017-2018","تصميم وتطوير مواقع الإنترنت ","WEBSITE DEVELOPER ","18","15","44","10","97003","2003-01-01"
"59","1","1","900","الوسائط المتعددة والتصميم الجرافيكي 2017-2018","الوسائط المتعددة والتصميم الجرافيكي","MULTIMEDIA & GRAPHIC DESIGN","15","7","55","10","97003","2013-07-20"
"60","5","1","815","فنون التلفزيون 2018-2019","فنون التلفزيون ","TELEVISION MEDIA ","18","12","47","10","97003","1996-01-01"
"61","5","1","816","تصميم الأزياء وتصنيع الملابس 2017-2018","تصميم الأزياء وتصنيع الملابس","DESIGN AND DRESS MAKING","15","16","40","10","97003","1996-01-01"
"62","2","1","800","مساعد مهندس تبريد وتكييف 2017-2018","مساعد مهندس تبريد وتكييف","HVAC( HEATING VENTILATION & AIR CONDITIONING ) ","18","18","39","10","97003","2013-07-20"
